Timestamp,X Position,Y Position
2024-03-29T23:23:21.157Z,491,412
2024-03-29T23:23:38.255Z,1090,895
2024-03-29T23:23:41.158Z,158,58
2024-03-29T23:23:42.581Z,73,54
2024-03-29T23:24:05.398Z,1572,1742
2024-03-29T23:24:07.261Z,1576,1738
2024-03-29T23:24:08.261Z,1554,1366
2024-03-29T23:24:10.334Z,191,1742
2024-03-29T23:24:10.883Z,307,1474
2024-03-29T23:24:12.252Z,450,1725
2024-03-29T23:24:20.428Z,84,52
2024-03-29T23:24:31.347Z,1082,1867
2024-03-29T23:24:35.988Z,103,65
2024-03-29T23:24:41.036Z,1764,1741
2024-03-29T23:24:47.149Z,78,25
2024-03-29T23:24:50.966Z,407,1742
2024-03-29T23:24:55.452Z,93,66
2024-03-29T23:25:00.926Z,1096,2064
2024-03-29T23:26:37.679Z,1076,902
2024-03-29T23:26:39.206Z,63,55
2024-03-29T23:26:40.277Z,1100,915
2024-03-29T23:26:41.229Z,100,72
2024-03-29T23:26:43.613Z,473,1724
2024-03-29T23:26:44.438Z,460,1736
2024-03-29T23:26:46.389Z,96,55
2024-03-29T23:26:47.983Z,1030,1755
2024-03-29T23:26:48.726Z,1028,1740
2024-03-29T23:26:50.301Z,80,56
2024-03-29T23:26:51.925Z,1533,1737
2024-03-29T23:26:53.181Z,1833,1766
2024-03-29T23:26:53.405Z,1795,1744
2024-03-29T23:26:55.149Z,70,30
2024-03-29T23:26:57.277Z,1016,1867
2024-03-29T23:26:59.381Z,98,28
2024-03-29T23:27:01.440Z,1718,2447
2024-03-29T23:27:02.295Z,1738,2632
2024-03-29T23:27:03.208Z,1744,2704
2024-03-29T23:27:04.063Z,1762,2450
2024-03-29T23:27:07.190Z,486,2928
2024-03-29T23:27:10.021Z,82,85
2024-03-29T23:27:13.350Z,487,2962
2024-03-29T23:27:14.349Z,45,42
2024-03-29T23:27:17.188Z,58,3090
2024-03-29T23:27:17.483Z,58,3097
2024-03-29T23:33:07.700Z,703,331
2024-03-29T23:33:10.292Z,2113,285
2024-03-29T23:33:12.277Z,1832,432
2024-03-29T23:33:13.381Z,1481,233
2024-03-29T23:33:14.933Z,1735,614
2024-03-29T23:33:15.285Z,1628,587
2024-03-29T23:33:15.588Z,1586,458
2024-03-29T23:33:16.117Z,1911,553
2024-03-29T23:33:17.596Z,222,390
2024-03-29T23:33:17.884Z,364,416
2024-03-29T23:33:18.148Z,576,422
2024-03-29T23:33:18.877Z,33,406
2024-03-29T23:33:19.108Z,17,406
2024-03-29T23:33:21.556Z,896,1080
2024-03-29T23:33:22.061Z,1096,1088
2024-03-29T23:33:22.516Z,1205,1087
2024-03-29T23:33:23.965Z,888,1466
2024-03-29T23:33:24.741Z,862,1432
2024-03-29T23:33:25.173Z,872,1513
2024-03-29T23:33:25.853Z,378,1344
2024-03-29T23:33:26.421Z,390,1404
2024-03-29T23:33:28.885Z,1748,1368
2024-03-29T23:33:29.573Z,1758,1450
2024-03-29T23:33:40.877Z,1192,1997
2024-03-29T23:33:44.781Z,965,2062
2024-03-29T23:33:46.829Z,932,2031
2024-03-29T23:33:48.038Z,1044,2073
2024-03-29T23:33:49.062Z,1130,2078
2024-03-29T23:33:50.381Z,1221,2078
2024-03-29T23:33:52.247Z,1627,2325
2024-03-29T23:33:52.960Z,1743,2411
2024-03-29T23:33:54.023Z,1720,2442
2024-03-29T23:33:54.839Z,1777,2394
2024-03-29T23:33:55.760Z,1727,2427
2024-03-29T23:33:56.615Z,561,2521
2024-03-29T23:33:57.111Z,370,2560
2024-03-29T23:33:57.680Z,367,2548
2024-03-29T23:33:58.336Z,311,2526
2024-03-29T23:33:58.855Z,321,2563
2024-03-29T23:33:59.448Z,312,2555
2024-03-29T23:34:00.151Z,362,2591
