Entidade,Ano,Produção Anual de Plástico
Mundo,1950,2000000
Mundo,1951,2000000
Mundo,1952,2000000
Mundo,1953,3000000
Mundo,1954,3000000
Mundo,1955,4000000
Mundo,1956,5000000
Mundo,1957,5000000
Mundo,1958,6000000
Mundo,1959,7000000
Mundo,1960,8000000
Mundo,1961,9000000
Mundo,1962,11000000
Mundo,1963,13000000
Mundo,1964,15000000
Mundo,1965,17000000
Mundo,1966,20000000
Mundo,1967,23000000
Mundo,1968,27000000
Mundo,1969,32000000
Mundo,1970,35000000
Mundo,1971,38000000
Mundo,1972,44000000
Mundo,1973,51000000
Mundo,1975,46000000
Mundo,1976,54000000
Mundo,1977,59000000
Mundo,1978,64000000
Mundo,1979,71000000
Mundo,1980,70000000
Mundo,1981,72000000
Mundo,1982,73000000
Mundo,1983,80000000
Mundo,1984,86000000
Mundo,1985,90000000
Mundo,1986,96000000
Mundo,1987,104000000
Mundo,1988,110000000
Mundo,1989,114000000
Mundo,1990,120000000
Mundo,1991,124000000
Mundo,1992,132000000
Mundo,1993,137000000
Mundo,1994,151000000
Mundo,1995,156000000
Mundo,1996,168000000
Mundo,1997,180000000
Mundo,1998,188000000
Mundo,1999,202000000
Mundo,2000,213000000
Mundo,2001,218000000
Mundo,2002,231000000
Mundo,2003,241000000
Mundo,2004,256000000
Mundo,2005,263000000
Mundo,2006,280000000
Mundo,2007,295000000
Mundo,2008,281000000
Mundo,2009,288000000
Mundo,2010,313000000
Mundo,2011,325000000
Mundo,2012,338000000
Mundo,2013,352000000
Mundo,2014,367000000
Mundo,2015,381000000
Mundo,2016,400050000
Mundo,2017,420052500
Mundo,2018,441055140
Mundo,2019,459746020
