Entidade,Ano,Produção Anual de Plástico,Código_x,Participação na emissão global de plásticos para o oceano,Código_y,Participação da reciclagem do lixo total regional,Participação da queima do lixo total regional,Participação do lixo descartado e mal gerido do total regional,Participação do lixo encaminhado para aterros do total regional,Código,Lixo plástico mal gerenciado por pessoa (kg por ano),Cidade,Região,Qualidade do Ar,Poluição da Água
Afghanistan,,,,,,,,,,,,Kabul,Kabul,18.42105263,81.06060606
Afghanistan,,,,,,,,,,,,Herat,Herat,43.75,31.25
Afghanistan,,,,,,,,,,,,Kandahar,Kandahar,0.0,75.0
Afghanistan,,,,,,,,,,,,Mazar-i-Sharif,Balkh,11.11111111,83.33333333
Afghanistan,,,,,,,,,,,,Farah,Farah,100.0,0.0
Afghanistan,,,,,,,,,,,,Andkhoy,Faryab,50.0,50.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Tirana,Tirana County,18.31683168,73.17708333
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Kavaje,Tirana County,100.0,75.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Durres,Durres County,37.5,62.5
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Elbasan,Elbasan County,0.0,25.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Korce,Korce County,75.0,25.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Shkoder,Shkoder County,75.0,33.33333333
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Vlore,Vlore County,66.66666667,75.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Lushnje,Fier County,0.0,100.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Burrel,Diber County,100.0,62.5
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Kamez,Tirana County,50.0,100.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Permet,Gjirokaster County,100.0,0.0
Albania,2019.0,,ALB,0.159782247,,,,,,ALB,24.23915307,Ballsh,Fier County,0.0,62.5
Algeria,2019.0,,DZA,0.589509708,,,,,,DZA,17.75899473,Algiers,Algiers Province,39.74358974,60.29411765
Algeria,2019.0,,DZA,0.589509708,,,,,,DZA,17.75899473,Guelma,Annaba Province,25.0,50.0
Algeria,2019.0,,DZA,0.589509708,,,,,,DZA,17.75899473,Bejaia,Bejaia Province,58.33333333,50.0
